mineral,Vac,Al,B,Ba,Ca,Cs,Fe3+,K,Mg,Mn2+,Na,O,Rb,Si,Sr,Ti4+,Sum,a,b,c,alpha,beta,gamma,V,crystal system,space group,reference
Anorthite,0,1.931,0,0,0.931,0,0,0,0,0,0.069,8,0,2.069,0,0,13,8.179,12.873,7.09,93.21,115.97,91.11,669.261,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349
Anorthite,0,1.68,0,0,0.68,0,0,0.01,0,0,0.31,8,0,2.32,0,0,13,8.176,12.876,7.102,93.46,116.03,90.51,670.1,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Anorthite,0,1.72,0,0,0.72,0,0,0,0,0,0.28,8,0,2.28,0,0,13,8.179,12.874,7.1,93.45,116.01,90.55,670.2,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966
Anorthite,0,1.628,0,0,0.64,0,0,0,0,0,0.36,8,0,2.368,0,0,12.996,8.151,12.829,7.103,93.62,116.21,89.7,664.843,triclinic,C1,American Mineralogist 65 (1980) 81-95
Anorthite,0.024,1.66,0,0,0.67,0,0.004,0.002,0,0,0.3,8,0,2.34,0,0,13,8.152,12.834,7.079,93.49,116.13,90.4,663.225,triclinic,C1,American Mineralogist 65 (1980) 81-95
Anorthite,0,1.64,0,0,0.66,0,0,0,0,0,0.35,8,0,2.35,0,0,13,8.1747,12.8706,7.1014,93.461,116.086,90.514,669.302,triclinic,C1,American Mineralogist 65 (1980) 81-95
Anorthite,0,1.66,0,0,0.65,0,0.01,0.01,0,0,0.34,8,0,2.33,0,0,13,8.1791,12.8798,7.1032,93.45,116.034,90.512,670.622,triclinic,,R060221
Anorthite,0.01,1.6,0,0,0.58,0,0,0.02,0,0,0.39,8,0,2.4,0,0,13,8.1809,12.881,7.1101,93.465,116.11,90.369,671.103,triclinic,,R060193
Anorthite,0.043,1.911,0,0,0.716,0,0,0,0,0.196,0.045,8,0,2.089,0,0,13,8.131,12.847,7.069,94.03,115.9,90.72,661.839,triclinic,C1,European Journal of Mineralogy 9 (1997) 333-344
Microcline,0,0.93,0,0,0,0,0,1,0,0,0,8,0,3.07,0,0,13,8.5784,12.96,7.2112,90.3,116.03,89.125,720.306,triclinic,C1,American Mineralogist 54 (1969) 1540-1545
