mineral,Vac,Al,B,Ca,Cr3+,Cr2+,Fe2+,Fe3+,H,K,Li,Mg,Mn2+,Mn3+,Na,Ni,O,Sc,Si,Ti4+,Ti3+,V,Zn,sum,a,b,c,beta,V,reference
Diopside,0,0,0,1,0,0,0.26,0,0,0,0,0.74,0,0,0,0,6,0,2,0,0,0,0,10,9.773,8.9523,5.2524,105.676,442.444,The Canadian Mineralogist 28 (1990) 93-109
Diopside,0,0,0,1,0,0,0.204,0,0,0,0,0.796,0,0,0,0,6,0,2,0,0,0,0,10,9.772,8.945,5.253,105.65,442.15,American Mineralogist 54 (1969) 238-245
Diopside,0,0,0,1,0,0,0.079,0,0,0,0,0.921,0,0,0,0,6,0,2,0,0,0,0,10,9.772,8.934,5.253,105.76,441.32,American Mineralogist 54 (1969) 238-245
Augite,0,0,0,0.5,0,0,1.275,0,0,0,0,0.225,0,0,0,0,6,0,2,0,0,0,0,10,9.772,9.038,5.245,106.75,443.4,American Mineralogist 58 (1973) 50-59
Diopside,0,0,0,1,0,0,0.204,0,0,0,0,0.796,0,0,0,0,6,0,2,0,0,0,0,10,9.771,8.946,5.253,105.66,442.08,American Mineralogist 54 (1969) 238-245
Augite,0,0,0,0.5,0,0,1.125,0,0,0,0,0.375,0,0,0,0,6,0,2,0,0,0,0,10,9.771,9.019,5.244,106.65,442.7,American Mineralogist 58 (1973) 50-59
Diopside,0,0,0,1,0,0,0.2,0,0,0,0,0.8,0,0,0,0,6,0,2,0,0,0,0,10,9.771,8.947,5.25,105.68,442,American Mineralogist 58 (1973) 50-59
Diopside,0,0,0,1,0,0,0.139,0,0,0,0,0.861,0,0,0,0,6,0,2,0,0,0,0,10,9.77,8.943,5.252,105.69,441.75,American Mineralogist 54 (1969) 238-245
Diopside,0,0,0,1,0,0,0.079,0,0,0,0,0.921,0,0,0,0,6,0,2,0,0,0,0,10,9.767,8.936,5.246,105.68,440.84,American Mineralogist 54 (1969) 238-245
Augite,0,0,0,0.6,0,0,1.05,0,0,0,0,0.35,0,0,0,0,6,0,2,0,0,0,0,10,9.767,9.015,5.242,106.44,442.7,American Mineralogist 58 (1973) 50-59
Augite,0,0,0,0.8,0,0,0.6,0,0,0,0,0.6,0,0,0,0,6,0,2,0,0,0,0,10,9.767,8.956,5.249,105.97,441.4,American Mineralogist 58 (1973) 50-59
Diopside,0,0,0.024,0.83,0,0,0,0,0,0,0,0.896,0,0,0.14,0,6,0,1.872,0.161,0.068,0,0,9.99,9.765,8.929,5.284,106.19,442.45,European Journal of Mineralogy 16 (2004) 443-449
Diopside,0,0,0,1,0,0,0.179,0,0,0,0,0.821,0,0,0,0,6,0,2,0,0,0,0,10,9.765,8.941,5.25,105.68,441.32,Mineralogical Magazine 37 (1969) 216-229
Diopside,0,0,0,1,0,0,0.18,0,0,0,0,0.82,0,0,0,0,6,0,2,0,0,0,0,10,9.7634,8.9488,5.2504,105.726,441.56,The Canadian Mineralogist 28 (1990) 93-109
