mineral,Ca,Co2+,Fe2+,Mg,Mn2+,Ni,Zn,O,Si,a,b,c,V,space group,reference
Forsterite,0,0,0.15,1.85,0,0,0,4,1,4.7579,10.2151,5.989,291.08,Pbnm,American Mineralogist 86 (2001) 55-65
Forsterite,0,0,0.15,1.85,0,0,0,4,1,4.7579,10.2151,5.989,291.08,Pbnm,American Mineralogist 86 (2001) 55-65
Forsterite,0,0,0.15,1.85,0,0,0,4,1,4.7579,10.2151,5.989,291.08,Pbnm,American Mineralogist 86 (2001) 55-65
Forsterite,0,0,0.16,1.84,0,0,0,4,1,4.7579,10.2151,5.989,291.08,Pbnm,American Mineralogist 86 (2001) 55-65
Forsterite,0,0,0.16,1.84,0,0,0,4,1,4.7579,10.2151,5.989,291.08,Pbnm,American Mineralogist 86 (2001) 55-65
Forsterite,0,0,0.8,1.2,0,0,0,4,1,4.758,10.269,6.006,293.5,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
Forsterite,0,0,0.2,1.8,0,0,0,4,1,4.758,10.221,6.001,291.8,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
Forsterite,0,0,0.31,1.69,0,0,0,4,1,4.758,10.219,6.002,291.8,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
Forsterite,0,0,0.175,1.825,0,0,0,4,1,4.758,10.215,6.001,291.7,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
Forsterite,0,0,0.1,1.9,0,0,0,4,1,4.758,10.2115,5.9865,290.86,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215"
Forsterite,0.045,0,0,1.955,0,0,0,4,1,4.7581,10.223,5.9929,291.51,Pbnm,American Mineralogist 58 (1973) 998-1008
Forsterite,0,0,0.09,1.91,0,0,0,4,1,4.7584,10.2099,5.9863,290.83,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215"
Forsterite,0.045,0,0,1.955,0,0,0,4,1,4.7585,10.2248,5.9933,291.61,Pbnm,American Mineralogist 58 (1973) 998-1008
Forsterite,0,0.249,0,1.749,0,0,0,4,1,4.7585,10.2148,5.9846,290.894,Pbnm,Physics and Chemistry of Minerals 24 (1997) 17-23
Forsterite,0.002,0,0,1.998,0,0,0.001,4,1,4.759,10.218,5.984,290.987,,R100099
Forsterite,0,0,0.06,1.94,0,0,0,4,1,4.759,10.2238,5.9932,291.6,Pbnm,American Mineralogist 98 (2013) 1972-1979
Forsterite,0,0,0.5,1.5,0,0,0,4,1,4.759,10.243,6.009,292.9,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
Forsterite,0,0,0.4,1.6,0,0,0,4,1,4.759,10.238,6.009,292.8,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
Forsterite,0,0,0.2,1.8,0,0,0,4,1,4.759,10.227,5.995,291.778,Pbnm,"Neues Jahrbuch fur Mineralogie, Monatshefte 7 (1986) 313-324"
Forsterite,0,0,0.12,1.88,0,0,0,4,1,4.759,10.2145,5.988,291.08,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 5 (1977) 205-215"
Forsterite,0.091,0,0,1.909,0,0,0,4,1,4.7596,10.2463,6.0027,292.74,Pbnm,American Mineralogist 58 (1973) 998-1008
Forsterite,0.002,0,0.194,1.802,0.002,0,0,4,1,4.7599,10.2299,5.9933,291.85,Pbnm,Mineralogical Magazine 36 (1968) 1123-1134
Forsterite,0.001,0,0.003,1.832,0.164,0,0,4,1,4.76,10.244,6.006,292.8,Pbnm,American Mineralogist 70 (1985) 568-575
Forsterite,0,0.261,0,1.739,0,0,0,4,1,4.76,10.221,5.984,291.133,Pbnm,American Mineralogist 72 (1987) 594-598
Forsterite,0,0,0.172,1.826,0.002,0,0,4,1,4.7605,10.2116,5.9894,290.68,Pbnm,Mineralogical Magazine 36 (1968) 1123-1134
Forsterite,0.091,0,0,1.909,0,0,0,4,1,4.7606,10.2499,6.0023,292.89,Pbnm,American Mineralogist 58 (1973) 998-1008
Forsterite,0,0,0.2,1.792,0.003,0.005,0,4,1,4.7606,10.2234,5.9942,291.735,Pbnm,Physics and Chemistry of Minerals 17 (1990) 301-312
Forsterite,0.001,0,0.168,1.825,0.002,0.008,0,4,0.998,4.761,10.22,5.991,291.52,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 7 (1986) 313-324"
Forsterite,0.001,0,0.004,1.832,0.163,0,0,4,1,4.761,10.254,6.007,293.3,Pbnm,American Mineralogist 70 (1985) 568-575
Forsterite,0,0,0.166,1.826,0.003,0.009,0,4,0.998,4.761,10.222,5.991,291.58,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 7 (1986) 313-324"
Forsterite,0,0,0,1.8,0.2,0,0,4,1,4.761,10.258,6.013,293.665,Pbnm,Geokhimiya 7 (1984) 1047-1055
Forsterite,0,0,0.5,1.5,0,0,0,4,1,4.761,10.249,6.012,293.4,Pbnm,"Zeitschrift für Naturforschung B Anorganische Chemie, Organische Chemie 33b (1978) 731-736"
Forsterite,0,0,0.153,1.832,0.002,0.008,0.001,4,1,4.761,10.215,5.991,291.364,,R100100
Forsterite,0,0,0.19,1.808,0.002,0,0,4,1,4.7613,10.219,5.9921,291.55,Pbnm,Mineralogical Magazine 36 (1968) 1123-1134
Forsterite,0,0,0.18,1.81,0,0.01,0,4,1,4.7614,10.2236,5.9923,291.697,,R060535
Forsterite,0,0,0.18,1.81,0,0.01,0,4,1,4.7615,10.2215,5.9922,291.638,,R050117
Forsterite,0,0,0.18,1.82,0,0,0,4,1,4.7615,10.2248,5.9932,291.781,,R060551
Forsterite,0,0,0.18,1.81,0,0.01,0,4,1,4.7617,10.2255,5.9927,291.789,,R040018
Forsterite,0,0,0.199,1.793,0.003,0.005,0,4,1,4.7617,10.2246,5.9922,291.739,Pbnm,Physics and Chemistry of Minerals 17 (1990) 301-312
Forsterite,0.002,0,0.226,1.77,0.002,0,0,4,1,4.7619,10.2248,5.9943,291.85,Pbnm,Mineralogical Magazine 36 (1968) 1123-1134
Forsterite,0.007,0,0.164,1.817,0.003,0.01,0,4,1,4.762,10.2257,5.993,291.828,Pbnm,Physics and Chemistry of Minerals 17 (1990) 301-312
Forsterite,0.007,0,0.164,1.817,0.003,0.01,0,4,1,4.762,10.2207,5.9907,291.573,Pbnm,Physics and Chemistry of Minerals 17 (1990) 301-312
Forsterite,0,0,0.34,1.14,0,0.52,0,4,1,4.762,10.244,5.989,292.155,Pbnm,American Mineralogist 67 (1982) 1206-1211
Forsterite,0,0,0.226,1.774,0,0,0,4,1,4.762,10.23,5.996,292.097,Pbnm,"Neues Jahrbuch fur Mineralogie, Monatshefte 7 (1986) 313-324"
Forsterite,0,0,0.172,1.828,0,0,0,4,1,4.762,10.231,5.993,291.979,Pbnm,"Neues Jahrbuch fur Mineralogie, Monatshefte 7 (1986) 313-324"
Forsterite,0,0,0.2,1.8,0,0,0,4,1,4.762,10.225,5.994,291.857,Pbnm,American Mineralogist 53 (1968) 807-824
Forsterite,0,0,0.199,1.793,0.003,0.005,0,4,1,4.7624,10.2243,5.9922,291.773,Pbnm,Physics and Chemistry of Minerals 17 (1990) 301-312
Forsterite,0,0,0.06,1.94,0,0,0,4,1,4.7624,10.226,5.9936,291.93,Pbnm,American Mineralogist 98 (2013) 1972-1979
Forsterite,0,0,0.216,1.782,0.002,0,0,4,1,4.7628,10.2227,5.9933,291.81,Pbnm,Mineralogical Magazine 36 (1968) 1123-1134
Forsterite,0,0,0.233,1.761,0.004,0.004,0,4,0.999,4.763,10.231,5.997,292.24,Pbnm,"Neues Jahrbuch für Mineralogie, Monatshefte 7 (1986) 313-324"
Forsterite,0,0,0.2,1.792,0.003,0.005,0,4,1,4.7631,10.223,5.992,291.769,Pbnm,Physics and Chemistry of Minerals 17 (1990) 301-312
Forsterite,0,0,0.238,1.756,0.006,0,0,4,1,4.7631,10.2351,5.9975,292.38,Pbnm,Mineralogical Magazine 36 (1968) 1123-1134
Forsterite,0,0.499,0,1.499,0,0,0,4,1,4.7633,10.229,5.9874,291.729,Pbnm,Physics and Chemistry of Minerals 24 (1997) 17-23
Forsterite,0.01,0,0.23,1.756,0.004,0,0,4,1,4.7636,10.2376,5.9989,292.55,Pbnm,Mineralogical Magazine 36 (1968) 1123-1134
Forsterite,0,0.5,0,1.5,0,0,0,4,1,4.7638,10.2255,5.9846,291.52,Pbnm,Geochemical Journal 2 (1968) 51-59
